Date,Product Name,Product Variant,Product Brand,Product Model,Product Size,Excellent Health Quantity,Good Health Quantity,Fair Health Quantity,Poor Health Quantity,Consumed,Discarded Quantity,Comment
4/8/2025,Camera Battery,Rechargable,BM Premium,BM-LI90B/92B,,0,1,0,1,FALSE,0,Not charging
4/22/2025,Tape Measure,Fiberglass,DeWalt,,100 feet,0,2,0,1,FALSE,0,Tape end broken
5/1/2025,Battery,AA,Energizer,,,12,0,0,0,TRUE,0,
5/1/2025,Battery,AAA,Energizer,,,8,0,0,0,TRUE,0,
5/1/2025,Bug Spray,Deep Woods,OFF!,Sportsmen,6 ounces,0,3,0,0,TRUE,0,
5/1/2025,Carabiner,Double Sided Snap Hooks,Bityar,,,14,0,0,0,FALSE,0,
5/1/2025,Clipboard,Metal Clamshell,Saunders,,,4,0,0,0,FALSE,0,
5/1/2025,Crack Card,,Devonian,,,3,0,0,0,FALSE,0,
5/1/2025,Angle Locator,Magnetic Digital,Stead&Fast,,,1,0,0,0,FALSE,0,
5/1/2025,Duct Tape,,Duck,,60 yards,2,0,0,0,FALSE,1,Waterlogged
5/1/2025,Flashlight,Aluminum Pen,Workpro,,,2,0,0,0,FALSE,0,
5/1/2025,Hand Sanitizer,,Purell,Naturals,6.5 ounces,2,0,0,0,TRUE,0,
5/1/2025,Hand Warmer,Air-Activated,HotHands,,,21,0,0,0,TRUE,0,
5/1/2025,Hard Hat,,MSA Safety,,Medium,2,0,0,0,TRUE,0,
5/1/2025,Protective Particulate Respirator,KN95,CandyCare,,,72,0,0,0,TRUE,0,
5/1/2025,Level,,Johnson,,4 feet,1,0,0,0,FALSE,0,
5/1/2025,Steel Ball Weight,,Bullet Weights,,32 ounces,2,0,0,0,FALSE,0,
5/1/2025,Stick Ruler,Brass Wood,Lufkin,,6 feet,3,0,0,0,FALSE,0,
5/1/2025,Tape Measure,Fiberglass,DeWalt,,100 feet,2,0,0,0,FALSE,1,Tape end broken
5/1/2025,Paint Markers,,Markal,82831 F,,8,0,0,0,TRUE,0,
5/1/2025,Chest Waders,Men,BassDash,,Medium,0,0,0,1,FALSE,0,"(1) Duct Tape Patch, Right Buttocks"
5/1/2025,Chest Waders,Men,BassDash,,Large,0,0,0,1,FALSE,0,"(2) Duct Tape Patches, Right Knee and Right Thigh"
5/1/2025,Chest Waders,Men,Fishingsir,,6,0,0,0,1,FALSE,0,"(1) Duct Tape Patch, Upper Right Leg in Back"
5/29/2025,Tape Measure,Self Lock,Komelon,,25 feet,2,0,0,0,FALSE,1,Self-Lock Stuck
5/29/2025,Camera Battery,Rechargable,BM Premium,BM-LI90B/92B,,0,1,0,0,FALSE,1,Not charging
6/1/2025,Tape Measure,Fiberglass,DeWalt,,100 feet,1,0,0,0,FALSE,1,Tape end broken
6/1/2025,Camera Pole Adapter,Straight,DocaZoo,,,0,0,0,0,FALSE,1,Adapter screw sheared off
6/3/2025,Brush,Wire,Hyde,MaxxGrip Pro,,0,3,0,0,FALSE,2,Mud throughout bristles
6/3/2025,Flashlight,Handheld,Dorcy,,,0,1,0,0,FALSE,0,
6/3/2025,Paint Markers,,Markal,82831 F,,0,5,0,0,TRUE,0,